torch_init_seed,learning_rate,l2,epoch,mrr,prec_at_1,prec_at_5,prec_at_10
42,0.001,0.0,0,0.033130129837452484,0.07550335570469799,0.06677852348993289,0.06442953020134227
42,0.001,0.0,1,0.031224550603231222,0.07046979865771812,0.06979865771812081,0.0656040268456376
42,0.001,0.0,2,0.03273855835522255,0.08892617449664429,0.06644295302013423,0.06493288590604027
42,0.001,0.0,3,0.035282015810894005,0.09395973154362416,0.07080536912751678,0.06677852348993288
42,0.001,0.0,4,0.03486114767618903,0.09395973154362416,0.06812080536912751,0.06510067114093959
42,0.001,0.0,5,0.035901596992054675,0.09395973154362416,0.08120805369127516,0.06493288590604027
42,0.001,0.0,6,0.03594400657366807,0.09395973154362416,0.08187919463087248,0.06694630872483222
42,0.001,0.0,7,0.0364087736696048,0.09395973154362416,0.08322147651006712,0.0634228187919463
42,0.001,0.0,8,0.03743418228047817,0.09395973154362416,0.08120805369127518,0.06426174496644295
42,0.001,0.0,9,0.03855501044318393,0.09228187919463088,0.08154362416107384,0.06778523489932886
42,0.001,0.0,10,0.03813165812865348,0.09228187919463088,0.07885906040268456,0.06577181208053692
42,0.001,0.0,11,0.03746728743789757,0.09395973154362416,0.06946308724832215,0.062751677852349
42,0.001,0.0,12,0.03649320694974584,0.09228187919463088,0.06610738255033557,0.059395973154362416
42,0.001,0.0,13,0.03719750121492998,0.09228187919463088,0.06979865771812081,0.05906040268456375
42,0.001,0.0,14,0.0374126973500282,0.09228187919463088,0.07013422818791946,0.06140939597315437
42,0.001,0.0,15,0.036680077834330624,0.09731543624161074,0.07181208053691275,0.061912751677852346
42,0.001,0.0,16,0.03640102878489198,0.08557046979865772,0.07348993288590604,0.061409395973154354
42,0.001,0.0,17,0.03468462795101084,0.07885906040268456,0.07281879194630873,0.06308724832214764
42,0.001,0.0,18,0.03382718666278622,0.08221476510067115,0.0691275167785235,0.06644295302013421
42,0.001,0.0,19,0.03524136444903231,0.09395973154362416,0.06946308724832216,0.0662751677852349
42,0.001,0.003,0,0.034999633179729435,0.09395973154362416,0.07248322147651005,0.06610738255033557
42,0.001,0.003,1,0.03589863915380124,0.09395973154362416,0.08154362416107383,0.06610738255033557
42,0.001,0.003,2,0.035866919513581126,0.09395973154362416,0.08154362416107383,0.0662751677852349
42,0.001,0.003,3,0.035945024125803915,0.09395973154362416,0.08154362416107383,0.0662751677852349
42,0.001,0.003,4,0.03587546261319438,0.09395973154362416,0.08154362416107383,0.0662751677852349
42,0.001,0.003,5,0.03593850966893548,0.09395973154362416,0.08154362416107383,0.0662751677852349
42,0.001,0.003,6,0.03593401071031248,0.09395973154362416,0.08154362416107383,0.0662751677852349
42,0.001,0.003,7,0.03590249567827321,0.09395973154362416,0.08154362416107383,0.0662751677852349
42,0.001,0.003,8,0.035903318775922476,0.09395973154362416,0.08154362416107383,0.0662751677852349
